gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YBR147W	r_1837	L-histidine[c] => L-histidine[m]	 May function as an amino acid transporter mediating the export of cationic amino acids from the vacuole. Required for optimal growth in synthetic medium. {ECO:0000269|PubMed:17986253, ECO:0000269|PubMed:23169667}.	MNXM134	none	"Putative vacuolar membrane transporter for cationic amino acids; likely contributes to amino acid homeostasis by exporting cationic amino acids from the vacuole; positive regulation by Lys14p suggests that lysine may be the primary substrate; member of the PQ-loop family, with seven transmembrane domains; similar to mammalian PQLC2 vacuolar transporter; RTC2 has a paralog, YPQ1, that arose from the whole genome duplication"	NA	Putative vacuolar membrane transporter for cationic amino acids	NA	Probable vacuolar amino acid transporter YPQ3 (PQ-loop repeat-containing protein 3) (Protein RTC2) (Restriction of telomere capping protein 2)	4 out of 5	NA	"RTC2, RRT11, YPQ3; cationic amino acid transporter"	NA	Restriction of Telomere Capping	PQLC2 transports L-Arg,L-His,L-Lys from lysosomal lumen to cytosol	2.A.43.2.7	Protein RTC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTC2 PE=1 SV=1	FALSE
YDR342C	r_1877	L-arabinose[e] <=> L-arabinose[c]	 High-affinity glucose transporter.	MNXM461	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YHR092C	r_1877	L-arabinose[e] <=> L-arabinose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM461	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YOR100C	r_1882	(R)-carnitine[m] => (R)-carnitine[c]	 Transports carnitine, acetylcarnitine, propionylcarnitine and to a much lower extent medium- and long-chain acylcarnitines. {ECO:0000269|PubMed:10545096, ECO:0000269|PubMed:10622748}.	MNXM173	none	"Mitochondrial inner membrane carnitine transporter; required for carnitine-dependent transport of acetyl-CoA from peroxisomes to mitochondria during fatty acid beta-oxidation; human homolog SLC25A20 complements yeast null mutant"	NA	Mitochondrial inner membrane carnitine transporter	NA	Mitochondrial carnitine carrier	3 out of 5	NA	"CRC1; carnitine:acyl carnitine antiporter"	NA	CaRnitine Carrier	"Exchange of palmitoylcarnitine and carnitine across the inner mitochondrial membrane;SLC25A29 transports basic amino acids from cytosol to mitochondrial matrix"	2.A.29.8.4	Mitochondrial carnitine carrier - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YKR039W	r_1907	L-serine[c] <=> L-serine[er]	 General amino-acid permease involved in the uptake of all the naturally occurring L-amino-acids, related compounds such as ornithine and citrulline, some D-amino acids, toxic amino acid analogs such as azetidine-2-carboxylate, and the polyamines putrescine and spermidine (PubMed:5474888, PubMed:10467005, PubMed:10373490, PubMed:10953083, PubMed:14968425, PubMed:15707981). Senses its transport substrates to set an appropriate level of transporter activity at the cell surface (PubMed:21471002). Required for FLO11 expression and invasive growth (PubMed:22844449). {ECO:0000269|PubMed:10373490, ECO:0000269|PubMed:10467005, ECO:0000269|PubMed:10953083, ECO:0000269|PubMed:14968425, ECO:0000269|PubMed:15707981, ECO:0000269|PubMed:21471002, ECO:0000269|PubMed:22844449, ECO:0000269|PubMed:5474888}.	MNXM53	none	"General amino acid permease; Gap1p senses the presence of amino acid substrates to regulate localization to the plasma membrane when needed; essential for invasive growth"	NA	General amino acid permease	NA	General amino-acid permease GAP1	5 out of 5	NA	"GAP1; amino acid permease GAP1"	NA	General Amino acid Permease	NA	2.A.3.10.2	General amino-acid permease GAP1 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YDL245C	r_1908	L-glucitol[e] <=> L-glucitol[c]	 Probable glucose transporter.	MNXM4638	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT15	5 out of 5	NA	"HXT15, HLT2; hexose transporter HXT15"	NA	HeXose Transporter	NA	2.A.1.1.107	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1	FALSE
YEL069C	r_1908	L-glucitol[e] <=> L-glucitol[c]	 Probable glucose transporter.	MNXM4638	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by non-fermentable carbon sources; induced in low glucose, repressed in high glucose; HXT13 has a paralog, HXT17, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT13	4 out of 5	NA	"HXT13, HLT1; hexose transporter HXT13"	NA	HeXose Transporter	NA	2.A.1.1.110	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1	FALSE
YJR158W	r_1908	L-glucitol[e] <=> L-glucitol[c]	 Probable glucose transporter.	MNXM4638	none	"Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT16	4 out of 5	NA	"HXT16, HLT3; hexose transporter HXT16"	NA	HeXose Transporter	NA	NA	NA	FALSE
YNR072W	r_1908	L-glucitol[e] <=> L-glucitol[c]	 Probable glucose transporter.	MNXM4638	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT17	4 out of 5	NA	"HXT17, HLT4; hexose transporter HXT17"	NA	HeXose Transporter	NA	NA	NA	FALSE
YDL245C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT15	5 out of 5	NA	"HXT15, HLT2; hexose transporter HXT15"	NA	HeXose Transporter	NA	2.A.1.1.107	Hexose transporter HXT15 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT15 PE=1 SV=1	FALSE
YDR342C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 High-affinity glucose transporter.	MNXM588	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT7	5 out of 5	NA	"HXT7; hexose transporter HXT7"	NA	HeXose Transporter	NA	2.A.1.1.31	High-affinity hexose transporter HXT6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT7 PE=1 SV=1	FALSE
YDR343C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 High-affinity glucose transporter.	MNXM588	none	"High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	High-affinity hexose transporter HXT6	4 out of 5	NA	"HXT6; hexose transporter HXT6"	NA	HeXose Transporter	NA	NA	NA	FALSE
YDR345C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Low-affinity glucose transporter.	MNXM588	none	"Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication"	NA	Low affinity glucose transporter of the major facilitator superfamily	NA	Low-affinity glucose transporter HXT3	5 out of 5	NA	"HXT3; hexose transporter HXT3"	NA	HeXose Transporter	NA	NA	NA	FALSE
YEL069C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by non-fermentable carbon sources; induced in low glucose, repressed in high glucose; HXT13 has a paralog, HXT17, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT13	4 out of 5	NA	"HXT13, HLT1; hexose transporter HXT13"	NA	HeXose Transporter	NA	2.A.1.1.110	Hexose transporter HXT13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT13 PE=1 SV=1	FALSE
YFL011W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative hexose transporter; expressed at low levels and expression is repressed by glucose"	NA	Putative hexose transporter	NA	Hexose transporter HXT10	4 out of 5	NA	"HXT10; hexose transporter HXT10"	NA	HeXose Transporter	NA	2.A.1.1.5	Hexose transporter HXT10 - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YHR092C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Low-affinity glucose transporter. Can also transport xylose. {ECO:0000269|PubMed:17180689}.	MNXM588	none	"High-affinity glucose transporter; member of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose; HXT4 has a paralog, HXT7, that arose from the whole genome duplication"	NA	High-affinity glucose transporter	NA	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1)	5 out of 5	NA	"HXT4, LGT1, RAG1; hexose transporter HXT4"	NA	HeXose Transporter	NA	2.A.1.1.30	Low-affinity glucose transporter HXT4 (Low-affinity glucose transporter LGT1) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YHR094C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Low-affinity glucose transporter. HXT1 is as well involved in the transport of mannose.	MNXM588	none	"Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog, HXT6, what arose from the whole genome duplication"	NA	Low-affinity glucose transporter of the major facilitator superfamily	NA	Low-affinity glucose transporter HXT1	5 out of 5	NA	"HXT1, HOR4; hexose transporter HXT1"	NA	HeXose Transporter	NA	2.A.1.1.108	Low-affinity glucose transporter HXT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT1 PE=1 SV=1	FALSE
YHR096C	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Hexose transporter with moderate affinity for glucose; induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs; HXT5 has a paralog, HXT3, that arose from the whole genome duplication"	NA	Hexose transporter with moderate affinity for glucose	NA	Probable glucose transporter HXT5	4 out of 5	NA	"HXT5; hexose transporter HXT5"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJL214W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	Protein of unknown function with similarity to hexose transporters	NA	Hexose transporter HXT8	4 out of 5	NA	"HXT8; hexose transporter HXT8"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJL219W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative hexose transporter that is nearly identical to Hxt11p; has similarity to major facilitator superfamily (MFS) transporters, expression of HXT9 is regulated by transcription factors Pdr1p and Pdr3p"	NA	Putative hexose transporter that is nearly identical to Hxt11p	NA	Hexose transporter HXT9	4 out of 5	NA	"HXT9; hexose transporter HXT9"	NA	HeXose Transporter	NA	NA	NA	FALSE
YJR158W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative transmembrane polyol transporter; supports growth on and uptake of sorbitol with moderate affinity and mannitol with lower affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is repressed by high levels of glucose"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT16	4 out of 5	NA	"HXT16, HLT3; hexose transporter HXT16"	NA	HeXose Transporter	NA	NA	NA	FALSE
YMR011W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 High-affinity glucose transporter. Is only indispensable for growth on low glucose-containing media, because S.cerevisiae possesses other sugar transporters.	MNXM588	none	"High-affinity glucose transporter of the major facilitator superfamily; expression is induced by low levels of glucose and repressed by high levels of glucose"	NA	High-affinity glucose transporter of the major facilitator superfamily	NA	High-affinity glucose transporter HXT2	4 out of 5	NA	"HXT2; hexose transporter HXT2"	NA	HeXose Transporter	NA	2.A.1.1.111	High-affinity glucose transporter HXT2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT2 PE=1 SV=1	FALSE
YNR072W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7, repressed by high levels of glucose; HXT17 has a paralog, HXT13, that arose from a segmental duplication"	NA	Putative transmembrane polyol transporter	NA	Hexose transporter HXT17	4 out of 5	NA	"HXT17, HLT4; hexose transporter HXT17"	NA	HeXose Transporter	NA	NA	NA	FALSE
YOL156W	r_1910	L-sorbose[e] <=> L-sorbose[c]	 Probable glucose transporter.	MNXM588	none	"Hexose transporter; capable of transporting a broad range of substrates including: glucose, fructose, mannose and galactose; polyol transporter that supports the growth on and uptake of xylitol with low affinity when overexpressed in a strain deleted for hexose family members; nearly identical in sequence to Hxt9p; has similarity to major facilitator superfamily (MFS) transporters; involved in pleiotropic drug resistance"	NA	Hexose transporter	NA	Hexose transporter HXT11 (Low-affinity glucose transporter LGT3)	4 out of 5	NA	"HXT11, LGT3; hexose transporter HXT11"	NA	HeXose Transporter	NA	2.A.1.1.105	Hexose transporter HXT11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HXT11 PE=1 SV=1	FALSE
